Week → Semana;;;;;;;;;;;;;
Days of the week → Dias da semana;;;;;;;;;;Weekend → Final de semana;;;
EU TOMO BANHO E ESCOVO OS DENTES APÓS O CAFÉ DA MANHÃ;;EU NORMALMENTE COMO NO CAFÉ DA MANHÃ, PÃO COM OVOS E BEBO UMA XÍCARA DE CAFÉ;;EU NORMALMENTE COMO NO CAFÉ DA MANHÃ, PÃO COM OVOS E BEBO UMA XÍCARA DE CAFÉ;;EU NORMALMENTE COMO NO CAFÉ DA MANHÃ, PÃO COM OVOS E BEBO UMA XÍCARA DE CAFÉ;;;;;;;
;;;;;;;;;;;;;
EU PARO DE TRABALHAR ÀS 12 HORAS;;EU TOMO CAFÉ DA MANHÃ ÀS 10 HORAS;;EU TOMO CAFÉ DA MANHÃ ÀS 9:00 HORAS;;EU TOMO CAFÉ DA MANHÃ ÀS 9:00 HORAS;;;;;;;
;;;;;;;;;;;;;
;;EU FAÇO TERAPIA ÀS 11:00 HORAS ;;EU PARO DE TRABALHAR ÀS 12 HORAS;;EU PARO DE TRABALHAR ÀS 12 HORAS;;;;;;;
;;;;;;;;;;;;;
EU VOU PARA A ACADEMIA ÀS 13 HORAS;;EU PARO DE TRABALHAR ÀS 13 HORAS;;EU VOU PARA A ACADEMIA ÀS 13 HORAS;;EU VOU PARA A ACADEMIA ÀS 13 HORAS;;;;;;;
;;;;;;;;;;;;;
NORMALMENTE ÀS SEGUNDAS FEIRAS EU TREINO O PEITO, OMBRO E TRÍCEPS;;EU VOU PARA A ACADEMIA ÀS 13 HORAS;;NORMALMENTE ÀS QUARTAS FEIRAS EU TREINO PERNA;;EU FAÇO CÁRDIO (TREINO AERÓBICO) NA QUINTA FEIRA;;;;;;;
;;;;;;;;;;;;;
NORMALMENTE EU VOU À ACADEMIA DE MOTO;;NORMALMENTE ÀS TERÇAS FEIRAS EU TREINO COSTA E BÍCEPS;;;;;;;;;;;
;;;;EU SAIO DA ACADEMIA ÀS 14 HORAS;;EU SAIO DA ACADEMIA ÀS 14 HORAS;;;;;;;
DEPOIS DO TREINO EU RETORNO PARA CASA;;;;;;;;;;;;;
;;EU SAIO DA ACADEMIA ÀS 14 HORAS;;DEPOIS DO TREINO EU RETORNO PARA CASA;;DEPOIS DO TREINO EU RETORNO PARA CASA;;;;;;;
APÓS  CHEGAR EM CASA EU TIRO A ROUPA E VOU TOMAR BANHO;;;;;;;;;;;;;
;;DEPOIS DO TREINO EU RETORNO PARA CASA;;APÓS  CHEGAR EM CASA EU TIRO A ROUPA E VOU TOMAR BANHO;;APÓS  CHEGAR EM CASA EU TIRO A ROUPA E VOU TOMAR BANHO;;;;;;;
EU ALMOÇO APÓS CHEGAR DA ACADEMIA;;;;;;;;;;;;;
;;APÓS  CHEGAR EM CASA EU TIRO A ROUPA E VOU TOMAR BANHO;;;;;;;;;;;
EU NORMALMENTE ALMOÇO ARROZ COM FEIJÃO E FRANGO, NORMALMENTE NÃO BEBO NO ALMOÇO;;;;EU ALMOÇO APÓS CHEGAR DA ACADEMIA;;EU ALMOÇO APÓS CHEGAR DA ACADEMIA;;;;;;;
;;;;;;;;;;;;;
EU RETORNO AO TRABALHO ÀS 14 HORAS;;EU ALMOÇO APÓS CHEGAR DA ACADEMIA;;EU RETORNO AO TRABALHO ÀS 14 HORAS;;EU RETORNO AO TRABALHO ÀS 14 HORAS;;;;;;;
;;;;;;;;;;;;;
EU TRABALHO ATÉ ÀS 18 HORAS;;EU RETORNO AO TRABALHO ÀS 14 HORAS;;TENHO REUNIÃO COM MEUS COLEGAS DO TRABALHO DE FORMA ONLINE;;EU ENCERRO AS ATIVIDADES DO EMPREGO ÀS 18:00;;;;;;;
;;;;;;;;;;;;;
GERALMENTE ÀS SEGUNDAS FEIRAS EU VOU JOGAR VÔLEI;;EU SOU ENGENHEIRO CÍVIL E TRABALHO COM PROJETOS HIDROSSANITÁRIOS;;;;EU JOGO VÔLEI DE AREIA NO BALNEARIO BICA ÀS 20:00;;;;;;;
;;;;EU TRABALHO DE CASA;;;;;;;;;
EU JOGO VÔLEI DAS 19 HORAS ATÉ AS 22 HORAS;;;;;;;;;;;;;
;;EU TRABALHO ATÉ ÀS 18 HORAS;;EU PARO DE TRABALHAR ÀS 18:00 ;;APÓS A AULA EU CONVERSO COM MINHA NAMORADA OU COM A MINHA MÃE;;;;;;;
EU RETORNO PARA CASA APÓS O JOGO DE VÔLEI E VOU TOMAR BANHO;;;;;;;;;;;;;
;;TENHO AULA DE INGLÊS ÀS 19:00 COM O PROFESSOR ÁTILAS;;TENHO AULA DE INGLÊS ÀS 19:00 COM O PROFESSOR ÁTILAS;;;;;;;;;
EU JANTO BEM TARDE TODOS OS DIAS;;;;;;EU VOLTO PARA CASA APÓS O JOGO DE VÔLEI;;;;;;;
;;;;;;;;;;;;;
APÓS A JANTA EU VOU JOGAR NO COMPUTADOR OU NO VIDEO GAME;;APÓS A AULA EU VOU JOGAR VÔLEI;;APÓS A AULA EU CONVERSO COM MINHA NAMORADA OU COM A MINHA MÃE;;EU TOMO BANHO QUANDO CHEGO EM CASA;;;;;;;
;;;;;;;;;;;;;
AINDA ASSISTO UM FILME OU SÉRIE DEPOIS DE DEITAR;;EU VOLTO PARA CASA APÓS O VÔLEI TERMINAR;;EU GOSTO DE ASSISTIR NO MEU QUARTO APÓS A AULA DE INGLÊS;;;;;;;;;
;;;;;;EU JANTO EM CASA OU PEÇO ALGUMA COMIDA NO APLICATIVO DE COMPRAS;;;;;;;
EU NORMALMENTE DURMO TARDE TODOS OS DIAS;;EM CASA EU PREPARO A JANTAR;;;;;;;;;;;
;;;;EU GOSTO DE SÉRIES E FILMES;;;;;;;;;
;;NA JANTA EU PREPARO COMIDAS DIFERENTES TODOS OS DIAS;;;;EU ASSITO AOS JOGOS DE FUTEBOL E JANTO NO MEU QUARTO;;;;;;;
;;;;EU GOSTO DE TOCAR VIOLÃO ENQUANTO ASSISTO ALGO;;;;;;;;;
;;;;;;ESCOVO OS DENTES APÓS O JANTAR;;;;;;;
;;APÓS A JANTA EU ESCOVO MEUS DENTES E TOMO BANHO;;;;;;;;;;;
;;;;EU JANTO COM MINHA MÃE E MINHA IRMÃ;;;;;;;;;
;;;;;;VOU DORMIR APÓS ESCOVAR OS DENTES;;;;;;;
;; EU ME PREPARO PARA DORMIR;;;;;;;;;;;
;;;;APÓS A JANTA EU ESCOVO MEUS DENTES E TOMO BANHO;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;EU VOU DORMIR APÓS JANTAR;;;;;;;;;
;;;;;;;;;;;;;
